datetime,Open,High,Low,Close
2024-04-16 11:45:00,22188.925,22189.35,22165.9,22177.575
2024-04-16 12:00:00,22177.525,22177.525,22149.95,22164.2375
2024-04-16 12:15:00,22167.8,22173.2,22139.35,22155.425
2024-04-16 12:30:00,22154.575,22154.575,22118.8,22132.875
2024-04-16 12:45:00,22130.425,22136.05,22113.75,22125.7
2024-04-16 13:00:00,22126.5,22131.45,22099.2,22115.325
2024-04-16 13:15:00,22115.325,22115.325,22079.45,22095.6375
2024-04-16 13:30:00,22099.7,22128.4,22090.7,22109.6625
2024-04-16 13:45:00,22109.775,22134.55,22109.775,22124.5125
2024-04-16 14:00:00,22124.625,22154.3,22123.85,22137.6625
2024-04-16 14:15:00,22136.25,22153.05,22119.9,22137.05
2024-04-16 14:30:00,22137.625,22146.05,22129.3,22136.2625
2024-04-16 14:45:00,22134.85,22138.4,22108.7,22126.575
2024-04-16 15:00:00,22129.6,22169.75,22116.6,22144.4875
2024-04-16 15:15:00,22145.8,22180.05,22145.8,22169.9
2024-04-18 09:15:00,22172.875,22270.65,22172.875,22239.8125
2024-04-18 09:30:00,22239.7,22267.75,22181.45,22229.025
2024-04-18 09:45:00,22233.45,22233.45,22172.2,22197.7875
2024-04-18 10:00:00,22203.525,22223.1,22163.45,22193.0875
2024-04-18 10:15:00,22192.9,22192.9,22153.8,22173.1125
2024-04-18 10:30:00,22176.6,22207.6,22159.7,22183.8
2024-04-18 10:45:00,22183.95,22194.35,22165.75,22186.2
2024-04-18 11:00:00,22192.35,22295.55,22190.75,22240.775
2024-04-18 11:15:00,22238.4,22293.4,22238.4,22281.6125
2024-04-18 11:30:00,22279.875,22296.35,22264.3,22280.05
2024-04-18 11:45:00,22279.775,22304.25,22271.8,22290.375
2024-04-18 12:00:00,22292.725,22308.5,22283.75,22297.25
2024-04-18 12:15:00,22298.375,22326.5,22291.5,22305.85
2024-04-18 12:30:00,22302.7,22318.2,22296.8,22309.6125
2024-04-18 12:45:00,22311.725,22313.25,22287.95,22302.4375
2024-04-18 13:00:00,22304.275,22304.275,22282.2,22293.9875
2024-04-18 13:15:00,22295.15,22305.4,22080.95,22202.7625
2024-04-18 13:30:00,22212.35,22243.45,22084.45,22139.775
2024-04-18 13:45:00,22115.6,22160.5,22091.75,22121.725
2024-04-18 14:00:00,22117.325,22163.8,22113.3,22138.6
2024-04-18 14:15:00,22138.65,22171.3,22129.25,22144.325
2024-04-18 14:30:00,22138.375,22144.9,22055.35,22098.175
2024-04-18 14:45:00,22096.225,22096.225,22007.6,22042.2125
2024-04-18 15:00:00,22039.725,22039.725,21961.8,21993.7625
2024-04-18 15:15:00,21994.725,22047.85,21961.7,22005.3375
2024-04-19 09:15:00,22005.9,22005.9,21777.65,21839.2
2024-04-19 09:30:00,21856.35,21870.95,21825.3,21848.3125
2024-04-19 09:45:00,21848.5,21882.65,21836.7,21859.0375
2024-04-19 10:00:00,21858.4,21902.8,21858.4,21881.4875
2024-04-19 10:15:00,21878.7,21889.85,21853.95,21871.6875
2024-04-19 10:30:00,21871.475,21886.05,21853.6,21865.05
2024-04-19 10:45:00,21860.275,21888.0,21850.2,21865.0625
2024-04-19 11:00:00,21861.025,21883.55,21851.15,21866.275
2024-04-19 11:15:00,21865.2,21920.4,21865.2,21892.1
2024-04-19 11:30:00,21890.65,21937.15,21890.65,21917.6375
2024-04-19 11:45:00,21918.85,21934.15,21898.25,21918.525
2024-04-19 12:00:00,21920.85,21935.3,21898.25,21920.6625
2024-04-19 12:15:00,21924.55,21994.75,21924.55,21955.9875
2024-04-19 12:30:00,21951.125,22029.0,21951.125,21996.975
2024-04-19 12:45:00,21996.525,22052.1,21996.525,22031.9375
2024-04-19 13:00:00,22033.95,22052.9,22026.25,22041.9
2024-04-19 13:15:00,22044.225,22060.75,22012.75,22040.7
2024-04-19 13:30:00,22044.65,22053.35,22010.25,22034.05
2024-04-19 13:45:00,22036.3,22142.7,22019.9,22083.0375
2024-04-19 14:00:00,22084.775,22178.5,22084.775,22150.1
2024-04-19 14:15:00,22145.525,22159.9,22114.65,22139.0875
2024-04-19 14:30:00,22140.9,22161.6,22100.6,22126.175
2024-04-19 14:45:00,22121.25,22155.45,22101.8,22126.8875
2024-04-19 15:00:00,22125.15,22179.55,22125.15,22153.1375
2024-04-19 15:15:00,22153.675,22166.0,22129.05,22151.9625
2024-04-22 09:15:00,22156.4,22337.1,22156.4,22290.025
2024-04-22 09:30:00,22291.7,22291.7,22212.65,22237.625
2024-04-22 09:45:00,22232.575,22240.95,22198.15,22221.15
2024-04-22 10:00:00,22222.75,22251.5,22219.7,22235.9625
2024-04-22 10:15:00,22236.325,22266.2,22229.55,22245.0875
2024-04-22 10:30:00,22242.3,22252.2,22230.55,22243.4375
2024-04-22 10:45:00,22245.5,22280.8,22240.35,22262.95
2024-04-22 11:00:00,22265.325,22297.4,22265.325,22282.425
